population,raw_cosine,calibrated
whole corpus,0.29596058,0.0
whole corpus,0.38231516,0.0
whole corpus,0.31398022,0.0
whole corpus,0.53789103,0.0
whole corpus,0.38416106,0.0
whole corpus,0.31738985,0.0
whole corpus,0.32594153,0.0
whole corpus,0.15819609,0.0
whole corpus,0.46720475,0.0
whole corpus,0.37630135,0.0
whole corpus,0.3377353,0.0
whole corpus,0.3031938,0.0
whole corpus,0.45154876,0.0
whole corpus,0.2420396,0.0
whole corpus,0.47794253,0.0
whole corpus,0.31538805,0.0
whole corpus,0.23667045,0.0
whole corpus,0.46304134,0.0
whole corpus,0.30703542,0.0
whole corpus,0.30481642,0.0
whole corpus,0.17194,0.0
whole corpus,0.43902493,0.0
whole corpus,0.3343743,0.0
whole corpus,0.19901326,0.0
whole corpus,0.24056977,0.0
whole corpus,0.24782911,0.0
whole corpus,0.31284362,0.0
whole corpus,0.21754587,0.0
whole corpus,0.3058011,0.0
whole corpus,0.28173798,0.0
whole corpus,0.2868008,0.0
whole corpus,0.40183434,0.0
whole corpus,0.28762227,0.0
whole corpus,0.13594401,0.0
whole corpus,0.14926013,0.0
whole corpus,0.27036005,0.0
whole corpus,0.29319033,0.0
whole corpus,0.36001292,0.0
whole corpus,0.2481581,0.0
whole corpus,0.41395187,0.0
whole corpus,0.3681271,0.0
whole corpus,0.25810194,0.0
whole corpus,0.30809116,0.0
whole corpus,0.369229,0.0
whole corpus,0.29921973,0.0
whole corpus,0.31713226,0.0
whole corpus,0.39836717,0.0
whole corpus,0.26778984,0.0
whole corpus,0.18205562,0.0
whole corpus,0.46508014,0.0
whole corpus,0.24569361,0.0
whole corpus,0.2267505,0.0
whole corpus,0.45983464,0.0
whole corpus,0.18332793,0.0
whole corpus,0.26362097,0.0
whole corpus,0.28193665,0.0
whole corpus,0.49757525,0.0
whole corpus,0.11528067,0.0
whole corpus,0.17801778,0.0
whole corpus,0.37021038,0.0
whole corpus,0.24062322,0.0
whole corpus,0.27828896,0.0
whole corpus,0.32035166,0.0
whole corpus,0.45321435,0.0
whole corpus,0.21084987,0.0
whole corpus,0.04626748,0.0
whole corpus,0.5466909,0.0
whole corpus,0.10966941,0.0
whole corpus,0.2422524,0.0
whole corpus,0.27549356,0.0
whole corpus,0.19255912,0.0
whole corpus,0.3084947,0.0
whole corpus,0.53633934,0.0
whole corpus,0.5282389,0.0
whole corpus,0.2456941,0.0
whole corpus,0.19545074,0.0
whole corpus,0.22906093,0.0
whole corpus,0.23177446,0.0
whole corpus,0.32834524,0.0
whole corpus,0.3298947,0.0
whole corpus,0.27057385,0.0
whole corpus,0.13889408,0.0
whole corpus,0.33007565,0.0
whole corpus,0.30645543,0.0
whole corpus,0.26685685,0.0
whole corpus,0.22811228,0.0
whole corpus,0.12905852,0.0
whole corpus,0.30373555,0.0
whole corpus,0.44081882,0.0
whole corpus,0.27412826,0.0
whole corpus,0.32709265,0.0
whole corpus,0.28531784,0.0
whole corpus,0.2640652,0.0
whole corpus,0.40397128,0.0
whole corpus,0.31999925,0.0
whole corpus,0.2413511,0.0
whole corpus,0.109759495,0.0
whole corpus,0.4809873,0.0
whole corpus,0.38466334,0.0
whole corpus,0.194525,0.0
whole corpus,0.2993002,0.0
whole corpus,0.28950655,0.0
whole corpus,0.2630521,0.0
whole corpus,0.20278153,0.0
whole corpus,0.19802196,0.0
whole corpus,0.19729418,0.0
whole corpus,0.29881057,0.0
whole corpus,0.29664528,0.0
whole corpus,0.22825968,0.0
whole corpus,0.31266135,0.0
whole corpus,0.2995569,0.0
whole corpus,0.5581856,0.0
whole corpus,0.30518365,0.0
whole corpus,0.16059045,0.0
whole corpus,0.2671922,0.0
whole corpus,0.13642971,0.0
whole corpus,0.5459672,0.0
whole corpus,0.34231824,0.0
whole corpus,0.28593144,0.0
whole corpus,0.30277547,0.0
whole corpus,0.27411458,0.0
